,Link,Name,Price,Color
0,,,,
1,https://www.carpages.ca/used-cars/ontario/kitchener/2018-toyota-camry-11180029/,2018 Toyota Camry,"$29,964",Red
2,https://www.carpages.ca/used-cars/ontario/kitchener/2019-toyota-rav4-11179996/,2019 Toyota RAV4,"$29,963",White
3,https://www.carpages.ca/new-cars/ontario/midland/2024-ford-escape-11179789/,2024 Ford Escape,"$49,531",STAR WHITE METALLIC TRI-COAT
4,https://www.carpages.ca/new-cars/british-columbia/port-moody/2024-honda-cr-v-11179780/,2024 Honda CR-V,"$49,075",Platinum White Pearl
5,https://www.carpages.ca/used-cars/ontario/burlington/2011-lexus-hs-250-11179774/,2011 Lexus HS 250,"$17,992",Black
6,https://www.carpages.ca/used-cars/ontario/guelph/2023-honda-cr-v-11179708/,2023 Honda CR-V,"$45,988",Grey
7,https://www.carpages.ca/used-cars/ontario/guelph/2020-ford-escape-11179693/,2020 Ford Escape,"$28,988",Blue
8,https://www.carpages.ca/used-cars/ontario/guelph/2021-toyota-rav4-11179675/,2021 Toyota RAV4,"$40,988",White
9,https://www.carpages.ca/used-cars/ontario/guelph/2021-ford-escape-11179651/,2021 Ford Escape,"$24,988",White
10,https://www.carpages.ca/new-cars/saskatchewan/prince-albert/2024-toyota-rav4-11179579/,2024 Toyota RAV4,"$54,754",Midnight Black Metallic
11,https://www.carpages.ca/new-cars/saskatchewan/prince-albert/2024-toyota-rav4-11179576/,2024 Toyota RAV4,"$50,169",Wind Chill Pearl w/Black Roof
12,https://www.carpages.ca/new-cars/new-brunswick/fredericton/2024-hyundai-tucson-hybrid-11179303/,2024 Hyundai Tucson Hybrid,"$42,901",ASH BLACK
13,https://www.carpages.ca/new-cars/new-brunswick/fredericton/2024-hyundai-tucson-hybrid-11179300/,2024 Hyundai Tucson Hybrid,"$42,901",Amazon Grey
14,https://www.carpages.ca/used-cars/alberta/camrose/2022-ford-f-150-11178937/,2022 Ford F-150,"$66,999",Agate Black
15,https://www.carpages.ca/new-cars/manitoba/winnipeg/2024-chevrolet-blazer-11178580/,2024 Chevrolet Blazer,"$62,194",Riptide Blue Metallic
16,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178511/,2024 Hyundai KONA,"$53,399",MIRAGE GREEN
17,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178508/,2024 Hyundai KONA,"$48,599",Abyss black
